id,code,description,city,city_eng,street,area,zip,building,latitude,longitude
21883,WRO11L,Stacja paliw Shell,Wrocław,wroclaw,Mińska,dolnośląskie,54-610,41,51.10596,16.95048
21884,WRO11M,Przed sklepem Ride Now,Wrocław,wroclaw,Aleja Wiśniowa,dolnośląskie,53-137,3,51.08593,17.01304
21885,WRO11N,Przy Budoskładzie,Wrocław,wroclaw,Grota-Roweckiego,dolnośląskie,52-214,168,51.05219,17.03178
21886,WRO121M,Po lewej stronie od szlabanu,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-138,185,51.08214,17.00876
21887,WRO122M,Przy wyjeżdzie z parkingu podziemnego Galerii i Hotelu,Wrocław,wroclaw,Pl. Dominikański,dolnośląskie,50-159,1,51.10892,17.03996
21888,WRO123M,Przy wjeździe na podwórze,Wrocław,wroclaw,Cybulskiego,dolnośląskie,50-206,7,51.1166,17.03233
21889,WRO124M,Na terenie osiedla,Wrocław,wroclaw,Zatorska,dolnośląskie,51-215,43,51.15935,17.13711
21890,WRO125M,Na terenie działki,Wrocław,wroclaw,Wandy Rutkiewicz,dolnośląskie,50-561,34,51.07329,17.03791
21891,WRO126M,Na osiedlu,Wrocław,wroclaw,Grudziądzka,dolnośląskie,51-165,103,51.13747,17.07848
21892,WRO127M,Na osiedlu,Wrocław,wroclaw,Zaułek Rogoziński,dolnośląskie,51-116,11A,51.14088,17.03062
21893,WRO128M,Przy siedzibie spółdzielni,Wrocław,wroclaw,Łódzka,dolnośląskie,50-523,19,51.09117,17.03752
21894,WRO12A,Przy Centrum Handlowym Astra,Wrocław,wroclaw,Horbaczewskiego,dolnośląskie,54-130,4-6,51.12652,16.9749
21895,WRO12B,Przy drogerii Rossmann,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,70,51.14592,17.13509
21896,WRO12M,Przy sklepie Black Red White,Wrocław,wroclaw,Czekoladowa,dolnośląskie,55-040,24,51.04832,16.96516
21897,WRO12N,Przy sklepie Żabka,Wrocław,wroclaw,Olszewskiego,dolnośląskie,51-631,17A,51.10304,17.09507
21898,WRO130M,Przy Żabce w Bramie,Wrocław,wroclaw,Pomorska,dolnośląskie,50-216,9,51.11684,17.03207
21899,WRO131M,Przy garażu podziemnym,Wrocław,wroclaw,Zielińskiego,dolnośląskie,53-533,59,51.0982,17.01986
21900,WRO132M,Na przeciwko biedronki,Wrocław,wroclaw,Sułowska,dolnośląskie,51-180,11A,51.16905,17.02543
21901,WRO133M,Przy budynku stacji Lotos,Wrocław,wroclaw,Pełczyńska,dolnośląskie,51-180,5/7,51.16071,17.00702
21902,WRO136M,Po prawej stronie od wejścia.,Wrocław,wroclaw,Mińska,dolnośląskie,54-610,36,51.1021,16.9434
21903,WRO137M,Przy ulicy Łomnickiej 12,Wrocław,wroclaw,Łomnicka,dolnośląskie,54-061,12,51.1608,16.9085
21904,WRO138M,Na rogu ulic Racławicka i Jastrzębia,Wrocław,wroclaw,Jastrzębia,dolnośląskie,53-148,14,51.08472,17.00763
21905,WRO139M,na osiedlu,Wrocław,wroclaw,Czerniawska,dolnośląskie,50-576,3,51.07635,17.0391
21907,WRO13B,przy skrzyżowaniu ulicy Starodębowej z Jeziorową,Wrocław,wroclaw,Jeziorowa,dolnośląskie,51-251,1,51.16606,17.10238
21908,WRO13L,Stacja paliw BP,Wrocław,wroclaw,pl. Grunwaldzki,dolnośląskie,50-337,34,51.11449,17.069
21909,WRO13M,Przy przedszkolu,Wrocław,wroclaw,Stoczniowa,dolnośląskie,51-218,12A,51.16283,17.13076
21910,WRO13N,Przy sklepie Marysieńka,Wrocław,wroclaw,Oleska,dolnośląskie,51-200,5,51.15957,17.13376
