id,code,description,city,city_eng,street,area,zip,building,latitude,longitude
14995,POP-WRO190,DUŻY BEN,Wrocław ,wroclaw,Al. Architektów,dolnośląskie,54-115,14D,51.13632,16.92841
14996,POP-WRO191,DUŻY BEN,Wrocław,wroclaw,Legnicka,dolnośląskie,53-672,33A/U4,51.11901,16.99527
14997,POP-WRO192,DUŻY BEN,Wrocław ,wroclaw,Sienkiewicza,dolnośląskie,50-348,89,51.11601,17.0574
14998,POP-WRO193,DUŻY BEN,Wrocław,wroclaw,Vespucciego,dolnośląskie,51-505,26A,51.10682,17.1234
14999,POP-WRO194,DUŻY BEN,Wrocław ,wroclaw,Legnicka ,dolnośląskie,54-203,57J,51.1247,16.98789
15000,POP-WRO195,DUŻY BEN,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-601,83A,51.10444,17.00709
15001,POP-WRO196,DUŻY BEN,Wrocław ,wroclaw,Popowicka,dolnośląskie,54-236,97,51.12936,16.98879
15002,POP-WRO197,DUŻY BEN,Wrocław,wroclaw,Magellana,dolnośląskie,51-505,24A,51.11122,17.12206
15003,POP-WRO198,DUŻY BEN,Wrocław,wroclaw,Wyszyńskiego,dolnośląskie,50-330,45D,51.11752,17.05161
15004,POP-WRO199,DUŻY BEN,Wrocław,wroclaw,Prusa,dolnośląskie,50-319,21,51.11963,17.0493
15005,POP-WRO200,DUŻY BEN,Wrocław,wroclaw,Dziadoszańska,dolnośląskie,54-153,50A,51.13663,16.97985
15006,POP-WRO201,DUŻY BEN,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-442,83-89/ U6,51.10108,17.04013
15007,POP-WRO202,DUŻY BEN,Wrocław,wroclaw,Wałbrzyska,dolnośląskie,53-235,3 B,51.06364,16.98387
15008,POP-WRO203,DUŻY BEN,Wrocław ,wroclaw,Krawiecka,dolnośląskie,50-148,3D,51.10885,17.03771
15009,POP-WRO204,DUŻY BEN,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-317,139/1B,51.08734,17.01541
15010,POP-WRO205,DUŻY BEN,Wrocław ,wroclaw,Kilińskiego,dolnośląskie,50-263,31,51.11942,17.03963
